qid	doc_id	total_chunks	maxsim_chunk_idx	gt_chunk_idx	diff	abs_diff	maxsim_score
q-en-1108	doc-en-5759	107	62	63	-1	1	0.6520
q-en-111	doc-en-881	128	117	115	2	2	0.6201
q-en-1110	doc-en-8354	88	46	45	1	1	0.6646
q-en-1111	doc-en-8361	105	64	63	1	1	0.6130
q-en-1117	doc-en-8402	105	53	52	1	1	0.7028
q-en-1125	doc-en-8452	116	81	80	1	1	0.6671
q-en-1126	doc-en-5174	124	31	70	-39	39	0.3348
q-en-1127	doc-en-8465	105	65	63	2	2	0.4653
q-en-1129	doc-en-8481	94	67	66	1	1	0.5844
q-en-1132	doc-en-8500	98	67	67	0	0	0.5379
q-en-1133	doc-en-8507	105	79	78	1	1	0.4812
q-en-1134	doc-en-8513	96	73	72	1	1	0.3755
q-en-1140	doc-en-8557	92	72	71	1	1	0.5696
q-en-1141	doc-en-8564	92	62	61	1	1	0.5335
q-en-1142	doc-en-8571	98	69	68	1	1	0.6294
q-en-1149	doc-en-8617	103	84	84	0	0	0.7298
q-en-1150	doc-en-8625	92	49	48	1	1	0.5455
q-en-1151	doc-en-8633	105	55	55	0	0	0.3877
q-en-1156	doc-en-8669	91	54	54	0	0	0.3162
q-en-1158	doc-en-8680	122	96	94	2	2	0.5820
q-en-1160	doc-en-8694	98	67	66	1	1	0.5746
q-en-1163	doc-en-8717	103	63	62	1	1	0.5242
q-en-1169	doc-en-8755	121	98	83	15	15	0.5554
q-en-1172	doc-en-8772	96	79	78	1	1	0.4826
q-en-1174	doc-en-8787	114	69	68	1	1	0.6104
q-en-1176	doc-en-8802	85	52	51	1	1	0.6374
q-en-1177	doc-en-8809	96	52	52	0	0	0.5211
q-en-1178	doc-en-8814	92	58	58	0	0	0.6354
q-en-118	doc-en-936	127	72	71	1	1	0.6451
q-en-1180	doc-en-8828	100	75	74	1	1	0.4261
q-en-1181	doc-en-8834	92	68	68	0	0	0.5080
q-en-1188	doc-en-5521	86	46	46	0	0	0.4791
q-en-1190	doc-en-8893	90	69	68	1	1	0.5755
q-en-1192	doc-en-8902	110	92	91	1	1	0.6519
q-en-1194	doc-en-8914	120	94	93	1	1	0.5437
q-en-1195	doc-en-8920	102	56	55	1	1	0.4097
q-en-1196	doc-en-8926	92	62	61	1	1	0.4921
q-en-1198	doc-en-8937	92	67	67	0	0	0.4426
q-en-12	doc-en-96	128	78	77	1	1	0.7302
q-en-1200	doc-en-8949	103	65	64	1	1	0.6828
q-en-1203	doc-en-8969	96	50	49	1	1	0.5114
q-en-1208	doc-en-9000	100	68	67	1	1	0.6973
q-en-1209	doc-en-9006	103	0	63	-63	63	0.6182
q-en-121	doc-en-959	106	0	64	-64	64	0.5467
q-en-1210	doc-en-9013	90	64	50	14	14	0.4385
q-en-1213	doc-en-6696	114	68	67	1	1	0.4040
q-en-1217	doc-en-9055	100	65	64	1	1	0.6567
q-en-122	doc-en-967	128	94	92	2	2	0.8070
q-en-1221	doc-en-9076	99	73	72	1	1	0.5160
q-en-1224	doc-en-9096	94	81	76	5	5	0.4937
q-en-1229	doc-en-4745	97	80	78	2	2	0.4196
q-en-1232	doc-en-9146	104	86	85	1	1	0.2561
q-en-1239	doc-en-8210	88	47	46	1	1	0.7110
q-en-1243	doc-en-8172	106	55	60	-5	5	0.6208
q-en-1244	doc-en-7723	100	51	51	0	0	0.3573
q-en-1245	doc-en-9229	116	71	70	1	1	0.6711
q-en-1246	doc-en-9236	96	59	59	0	0	0.5275
q-en-1247	doc-en-9242	88	72	71	1	1	0.5931
q-en-1250	doc-en-9257	107	89	89	0	0	0.5827
q-en-1259	doc-en-9320	88	49	48	1	1	0.4960
q-en-126	doc-en-998	128	123	121	2	2	0.5427
q-en-1260	doc-en-5495	97	61	66	-5	5	0.5383
q-en-1262	doc-en-9342	103	84	83	1	1	0.6609
q-en-1270	doc-en-9396	93	53	79	-26	26	0.7209
q-en-1271	doc-en-9402	100	67	58	9	9	0.5395
q-en-1272	doc-en-9409	95	64	63	1	1	0.6811
q-en-1273	doc-en-9415	99	50	73	-23	23	0.5354
q-en-1280	doc-en-9458	106	56	56	0	0	0.5710
q-en-1281	doc-en-7771	109	65	61	4	4	0.4834
q-en-1282	doc-en-9471	96	61	60	1	1	0.3960
q-en-1285	doc-en-9494	89	55	55	0	0	0.6165
q-en-1287	doc-en-6433	95	71	70	1	1	0.6733
q-en-129	doc-en-1021	128	126	124	2	2	0.6387
q-en-1298	doc-en-9574	95	44	73	-29	29	0.4616
q-en-13	doc-en-104	125	96	94	2	2	0.5928
q-en-1300	doc-en-9586	99	87	85	2	2	0.3977
q-en-1301	doc-en-9591	107	57	57	0	0	0.6352
q-en-1307	doc-en-9629	97	52	52	0	0	0.6065
q-en-1310	doc-en-9645	109	89	88	1	1	0.7725
q-en-1315	doc-en-7486	83	27	42	-15	15	0.5480
q-en-1317	doc-en-9693	104	64	63	1	1	0.6069
q-en-1318	doc-en-9697	94	56	55	1	1	0.6530
q-en-132	doc-en-1045	111	72	71	1	1	0.5834
q-en-1322	doc-en-8297	101	1	1	0	0	0.5827
q-en-1326	doc-en-9746	109	77	76	1	1	0.5565
q-en-1327	doc-en-9752	115	100	99	1	1	0.7344
q-en-1328	doc-en-9022	99	76	74	2	2	0.6720
q-en-1329	doc-en-6264	89	72	71	1	1	0.5615
q-en-1331	doc-en-9773	86	59	59	0	0	0.5862
q-en-1333	doc-en-6716	105	77	77	0	0	0.6392
q-en-1335	doc-en-9796	114	113	0	113	113	0.3123
q-en-1336	doc-en-9803	120	88	87	1	1	0.4936
q-en-1337	doc-en-9810	92	79	78	1	1	0.6228
q-en-1340	doc-en-7345	113	99	74	25	25	0.3379
q-en-1342	doc-en-7643	99	50	50	0	0	0.7601
q-en-1354	doc-en-9908	105	81	80	1	1	0.4676
q-en-1355	doc-en-9915	91	60	59	1	1	0.6885
q-en-1361	doc-en-9955	100	80	79	1	1	0.7707
q-en-1362	doc-en-9962	103	56	56	0	0	0.4658
q-en-1366	doc-en-9988	105	5	65	-60	60	0.6234
q-en-1367	doc-en-9883	101	83	14	69	69	0.4926
q-en-1371	doc-en-10019	114	104	92	12	12	0.4205
q-en-1373	doc-en-7099	100	87	86	1	1	0.7880
q-en-1382	doc-en-10081	105	87	86	1	1	0.5042
q-en-1386	doc-en-10106	95	78	77	1	1	0.7856
q-en-1387	doc-en-10112	128	79	78	1	1	0.7092
q-en-139	doc-en-1099	125	87	65	22	22	0.5113
q-en-1390	doc-en-10130	101	58	58	0	0	0.5964
q-en-1392	doc-en-6897	87	57	56	1	1	0.6167
q-en-1393	doc-en-10148	86	70	69	1	1	0.7099
q-en-1394	doc-en-10152	94	56	55	1	1	0.6315
q-en-140	doc-en-1107	118	64	64	0	0	0.4643
q-en-1400	doc-en-10185	92	79	80	-1	1	0.7724
q-en-1402	doc-en-10198	99	76	76	0	0	0.6537
q-en-1407	doc-en-10227	91	67	67	0	0	0.5369
q-en-1408	doc-en-10233	101	64	63	1	1	0.6957
q-en-1411	doc-en-10251	94	52	51	1	1	0.5773
q-en-1413	doc-en-10261	99	58	57	1	1	0.5510
q-en-1419	doc-en-10292	87	64	63	1	1	0.7497
q-en-142	doc-en-1123	125	98	97	1	1	0.6358
q-en-1424	doc-en-8216	84	49	48	1	1	0.5848
q-en-1427	doc-en-10335	94	51	52	-1	1	0.4678
q-en-143	doc-en-1131	128	87	86	1	1	0.5937
q-en-1437	doc-en-10396	93	59	59	0	0	0.6580
q-en-1440	doc-en-10415	104	54	53	1	1	0.5871
q-en-1443	doc-en-8474	103	61	61	0	0	0.5770
q-en-1445	doc-en-10446	97	52	52	0	0	0.4523
q-en-1449	doc-en-10467	87	58	59	-1	1	0.4651
q-en-1450	doc-en-7460	87	54	56	-2	2	0.5257
q-en-1452	doc-en-9148	103	76	75	1	1	0.5123
q-en-1454	doc-en-10495	94	71	70	1	1	0.4648
q-en-1457	doc-en-10514	108	1	55	-54	54	0.6346
q-en-146	doc-en-1154	128	52	51	1	1	0.5105
q-en-1462	doc-en-10540	103	61	60	1	1	0.6892
q-en-1465	doc-en-10557	102	72	71	1	1	0.4947
q-en-1472	doc-en-10600	110	85	106	-21	21	0.3753
q-en-1477	doc-en-5109	98	83	82	1	1	0.6151
q-en-1482	doc-en-7969	92	49	48	1	1	0.5660
q-en-1483	doc-en-10661	90	56	56	0	0	0.4938
q-en-1484	doc-en-10668	107	87	85	2	2	0.6320
q-en-1486	doc-en-10674	119	78	19	59	59	0.5812
q-en-1489	doc-en-10688	110	69	67	2	2	0.5433
q-en-149	doc-en-1178	103	70	69	1	1	0.4422
q-en-1492	doc-en-10705	100	68	67	1	1	0.6363
q-en-1499	doc-en-10745	104	77	76	1	1	0.3047
q-en-150	doc-en-1186	128	102	100	2	2	0.5387
q-en-1500	doc-en-10753	109	80	81	-1	1	0.3287
q-en-1504	doc-en-10773	93	65	64	1	1	0.5316
q-en-1506	doc-en-10785	91	54	53	1	1	0.5409
q-en-1509	doc-en-8677	94	66	66	0	0	0.6213
q-en-1513	doc-en-8281	101	84	83	1	1	0.6078
q-en-1515	doc-en-10837	128	112	111	1	1	0.5877
q-en-1518	doc-en-10857	92	69	72	-3	3	0.6424
q-en-152	doc-en-1201	128	82	81	1	1	0.4329
q-en-1520	doc-en-10868	128	118	116	2	2	0.4828
q-en-1530	doc-en-6018	128	76	75	1	1	0.3460
q-en-1532	doc-en-8556	90	61	60	1	1	0.4997
q-en-1539	doc-en-10971	99	66	65	1	1	0.5988
q-en-1540	doc-en-10975	96	59	58	1	1	0.6555
q-en-1544	doc-en-10997	90	55	54	1	1	0.6797
q-en-1556	doc-en-11068	112	86	0	86	86	0.5741
q-en-1558	doc-en-11081	109	88	87	1	1	0.6260
q-en-1564	doc-en-6904	97	58	57	1	1	0.5073
q-en-1565	doc-en-10458	92	73	56	17	17	0.5750
q-en-1574	doc-en-8496	102	63	62	1	1	0.6060
q-en-1578	doc-en-11186	97	53	53	0	0	0.5026
q-en-158	doc-en-1247	128	120	118	2	2	0.3221
q-en-1580	doc-en-11196	94	66	65	1	1	0.5457
q-en-1582	doc-en-11209	89	72	70	2	2	0.4993
q-en-1583	doc-en-11216	93	47	46	1	1	0.5860
q-en-1591	doc-en-11256	100	81	80	1	1	0.7272
q-en-1596	doc-en-11286	101	85	84	1	1	0.5852
q-en-1599	doc-en-11303	98	67	66	1	1	0.7239
q-en-160	doc-en-1263	128	91	91	0	0	0.5799
q-en-1600	doc-en-11310	95	54	12	42	42	0.4230
q-en-1602	doc-en-4662	91	75	75	0	0	0.6929
q-en-1609	doc-en-11360	101	65	64	1	1	0.5781
q-en-1612	doc-en-9290	100	68	68	0	0	0.5787
q-en-1622	doc-en-11419	100	63	62	1	1	0.4190
q-en-1624	doc-en-8812	105	62	61	1	1	0.5446
q-en-1627	doc-en-11447	105	80	79	1	1	0.6480
q-en-1629	doc-en-11456	97	85	84	1	1	0.5267
q-en-1636	doc-en-11493	91	61	61	0	0	0.6340
q-en-1639	doc-en-4910	101	70	69	1	1	0.5086
q-en-1641	doc-en-10271	101	81	80	1	1	0.5173
q-en-1645	doc-en-11547	90	4	69	-65	65	0.5556
q-en-1646	doc-en-11554	104	87	79	8	8	0.5174
q-en-165	doc-en-1303	128	73	72	1	1	0.5449
q-en-1660	doc-en-11344	108	92	91	1	1	0.6036
q-en-1661	doc-en-11633	97	71	80	-9	9	0.6144
q-en-1666	doc-en-11658	91	47	48	-1	1	0.5159
q-en-1672	doc-en-11690	121	101	98	3	3	0.5926
q-en-1674	doc-en-11702	101	71	70	1	1	0.6671
q-en-1676	doc-en-8525	99	59	58	1	1	0.5742
q-en-1682	doc-en-7376	104	86	85	1	1	0.6097
q-en-1686	doc-en-11767	97	75	74	1	1	0.5460
q-en-1689	doc-en-7878	88	64	66	-2	2	0.5819
q-en-1693	doc-en-7371	95	65	64	1	1	0.6886
q-en-17	doc-en-136	113	84	83	1	1	0.5462
q-en-1701	doc-en-11841	114	92	91	1	1	0.7082
q-en-1702	doc-en-11847	104	76	75	1	1	0.5204
q-en-1706	doc-en-9761	103	73	72	1	1	0.6053
q-en-1707	doc-en-8763	103	59	58	1	1	0.6406
q-en-1708	doc-en-11871	104	75	74	1	1	0.5437
q-en-1709	doc-en-5370	107	66	29	37	37	0.6058
q-en-171	doc-en-1348	128	88	87	1	1	0.6420
q-en-1715	doc-en-11911	97	82	80	2	2	0.6125
q-en-1723	doc-en-11956	100	63	62	1	1	0.7848
q-en-1724	doc-en-11960	105	88	87	1	1	0.5421
q-en-1725	doc-en-7540	85	46	45	1	1	0.6809
q-en-1730	doc-en-11193	101	80	79	1	1	0.6804
q-en-1735	doc-en-8266	98	58	57	1	1	0.6635
q-en-1741	doc-en-12048	106	58	6	52	52	0.6206
q-en-1744	doc-en-7028	99	85	84	1	1	0.6439
q-en-1756	doc-en-12127	100	83	81	2	2	0.6317
q-en-1758	doc-en-12140	91	0	44	-44	44	0.6093
q-en-1762	doc-en-8202	95	73	72	1	1	0.6573
q-en-1763	doc-en-12166	86	51	50	1	1	0.6059
q-en-1766	doc-en-12179	112	40	2	38	38	0.6344
q-en-1767	doc-en-12183	98	51	50	1	1	0.5619
q-en-1768	doc-en-9227	106	89	88	1	1	0.6402
q-en-1769	doc-en-12194	119	93	91	2	2	0.6227
q-en-1772	doc-en-12209	86	48	47	1	1	0.6530
q-en-1773	doc-en-12215	96	58	57	1	1	0.6263
q-en-1774	doc-en-12220	91	55	55	0	0	0.7708
q-en-1777	doc-en-12237	97	81	32	49	49	0.6167
q-en-1779	doc-en-5325	91	70	69	1	1	0.7330
q-en-1781	doc-en-12264	96	60	59	1	1	0.6850
q-en-1784	doc-en-12278	100	64	63	1	1	0.6161
q-en-1786	doc-en-12291	91	68	68	0	0	0.6158
q-en-1794	doc-en-12340	98	64	19	45	45	0.4070
q-en-180	doc-en-1419	100	74	73	1	1	0.5676
q-en-1800	doc-en-12373	90	72	70	2	2	0.6393
q-en-1803	doc-en-8635	104	75	75	0	0	0.5125
q-en-1810	doc-en-12423	106	93	91	2	2	0.6663
q-en-1811	doc-en-12429	100	80	79	1	1	0.6342
q-en-1814	doc-en-9758	86	63	61	2	2	0.7586
q-en-1816	doc-en-12223	97	45	51	-6	6	0.5392
q-en-1818	doc-en-12464	95	24	24	0	0	0.5086
q-en-1819	doc-en-11125	83	56	56	0	0	0.7324
q-en-182	doc-en-1434	128	65	64	1	1	0.5825
q-en-1823	doc-en-9359	91	63	62	1	1	0.6516
q-en-1828	doc-en-12519	94	0	55	-55	55	0.6219
q-en-1829	doc-en-12525	102	62	61	1	1	0.5847
q-en-183	doc-en-1442	128	73	72	1	1	0.6052
q-en-1832	doc-en-12540	110	62	61	1	1	0.6234
q-en-1833	doc-en-12544	92	62	61	1	1	0.4857
q-en-1835	doc-en-12554	93	53	19	34	34	0.4626
q-en-1836	doc-en-7176	98	55	54	1	1	0.6299
q-en-1837	doc-en-12561	108	85	83	2	2	0.6532
q-en-1838	doc-en-10436	91	50	49	1	1	0.6020
q-en-184	doc-en-1449	122	97	96	1	1	0.6792
q-en-1842	doc-en-12586	101	84	83	1	1	0.7077
q-en-1845	doc-en-12601	105	89	87	2	2	0.4053
q-en-1850	doc-en-12627	95	62	61	1	1	0.5571
q-en-1852	doc-en-10978	90	73	72	1	1	0.6403
q-en-1854	doc-en-5409	93	75	75	0	0	0.5770
q-en-1855	doc-en-8583	100	85	84	1	1	0.5722
q-en-1857	doc-en-10565	108	85	87	-2	2	0.4420
q-en-1858	doc-en-12667	87	44	43	1	1	0.6779
q-en-1860	doc-en-12680	96	88	80	8	8	0.6280
q-en-1861	doc-en-12684	103	84	83	1	1	0.6716
q-en-1862	doc-en-7065	84	57	56	1	1	0.4661
q-en-1866	doc-en-12707	92	48	48	0	0	0.5520
q-en-1868	doc-en-10484	114	0	51	-51	51	0.6381
q-en-1869	doc-en-12717	103	62	61	1	1	0.6865
q-en-1871	doc-en-12728	100	99	59	40	40	0.5743
q-en-1876	doc-en-12753	98	64	1	63	63	0.6446
q-en-188	doc-en-1479	128	117	115	2	2	0.6485
q-en-1881	doc-en-12779	94	61	60	1	1	0.6827
q-en-1891	doc-en-12845	128	85	84	1	1	0.6272
q-en-1899	doc-en-12907	112	67	67	0	0	0.3604
q-en-190	doc-en-1494	113	60	59	1	1	0.5824
q-en-1900	doc-en-12915	128	123	121	2	2	0.4505
q-en-1907	doc-en-12964	128	60	10	50	50	0.5535
q-en-191	doc-en-1502	125	79	78	1	1	0.4732
q-en-1910	doc-en-12987	128	97	95	2	2	0.6000
q-en-194	doc-en-1525	128	121	119	2	2	0.5371
q-en-1940	doc-en-13210	128	112	111	1	1	0.5643
q-en-1941	doc-en-13217	119	99	96	3	3	0.4820
q-en-1942	doc-en-13225	128	79	123	-44	44	0.4566
q-en-1946	doc-en-13255	126	81	80	1	1	0.6204
q-en-1947	doc-en-13263	114	84	83	1	1	0.7942
q-en-1956	doc-en-13328	128	110	108	2	2	0.5536
q-en-1957	doc-en-13334	128	122	121	1	1	0.6507
q-en-1959	doc-en-13346	114	69	75	-6	6	0.6533
q-en-1968	doc-en-13410	128	12	65	-53	53	0.4600
q-en-1971	doc-en-13431	115	85	83	2	2	0.7219
q-en-1974	doc-en-13453	128	86	85	1	1	0.5651
q-en-1983	doc-en-13518	128	90	89	1	1	0.6259
q-en-199	doc-en-1562	126	76	75	1	1	0.4893
q-en-1991	doc-en-13578	113	92	90	2	2	0.4194
q-en-1997	doc-en-13620	128	92	91	1	1	0.5126
q-en-20	doc-en-160	116	73	71	2	2	0.6149
q-en-200	doc-en-1570	125	64	63	1	1	0.6242
q-en-2000	doc-en-13643	128	123	122	1	1	0.6946
q-en-2002	doc-en-13658	114	85	83	2	2	0.5654
q-en-2012	doc-en-13725	128	48	47	1	1	0.7258
q-en-2013	doc-en-13733	120	66	65	1	1	0.6820
q-en-2016	doc-en-13754	128	105	127	-22	22	0.4393
q-en-2017	doc-en-13762	128	101	101	0	0	0.5289
q-en-202	doc-en-1585	128	11	1	10	10	0.4950
q-en-2021	doc-en-13792	116	0	96	-96	96	0.6060
q-en-2025	doc-en-13819	128	103	102	1	1	0.5812
q-en-2027	doc-en-13833	128	111	109	2	2	0.5998
q-en-2030	doc-en-13854	106	27	79	-52	52	0.5275
q-en-2032	doc-en-13870	128	0	0	0	0	0.6056
q-en-2033	doc-en-13878	128	91	90	1	1	0.6168
q-en-2034	doc-en-13885	107	89	90	-1	1	0.4898
q-en-204	doc-en-1601	128	122	120	2	2	0.4367
q-en-2040	doc-en-13929	103	57	56	1	1	0.5820
q-en-2044	doc-en-13955	118	50	5	45	45	0.5678
q-en-2050	doc-en-13994	128	27	27	0	0	0.6099
q-en-2051	doc-en-14002	128	56	108	-52	52	0.4199
q-en-2055	doc-en-14029	108	58	57	1	1	0.5156
q-en-2062	doc-en-12973	128	110	108	2	2	0.7168
q-en-2065	doc-en-14100	128	112	99	13	13	0.4188
q-en-207	doc-en-1625	105	72	71	1	1	0.5698
q-en-2070	doc-en-14138	128	0	9	-9	9	0.4483
q-en-208	doc-en-1632	128	92	83	9	9	0.5519
q-en-2081	doc-en-14221	128	100	98	2	2	0.5888
q-en-2086	doc-en-14257	118	103	102	1	1	0.6296
q-en-209	doc-en-1640	128	117	115	2	2	0.4053
q-en-2103	doc-en-14382	118	93	91	2	2	0.5378
q-en-2104	doc-en-14390	115	0	84	-84	84	0.6368
q-en-2106	doc-en-376	102	69	68	1	1	0.4374
q-en-2107	doc-en-14411	128	101	99	2	2	0.5854
q-en-2109	doc-en-14426	124	98	96	2	2	0.6387
q-en-2110	doc-en-14434	127	64	64	0	0	0.4701
q-en-2114	doc-en-14464	118	66	65	1	1	0.6267
q-en-2116	doc-en-14478	113	87	86	1	1	0.6266
q-en-2117	doc-en-1935	115	79	80	-1	1	0.4674
q-en-2120	doc-en-14503	108	0	87	-87	87	0.4811
q-en-2122	doc-en-14518	126	77	76	1	1	0.7115
q-en-2123	doc-en-14524	128	29	85	-56	56	0.5294
q-en-2129	doc-en-14562	120	92	91	1	1	0.7268
q-en-2132	doc-en-14579	128	97	95	2	2	0.4628
q-en-2135	doc-en-14602	128	96	112	-16	16	0.6170
q-en-2137	doc-en-14616	121	98	96	2	2	0.6757
q-en-2138	doc-en-66	128	59	58	1	1	0.4580
q-en-2140	doc-en-14634	128	78	77	1	1	0.6534
q-en-2141	doc-en-14641	108	94	93	1	1	0.6552
q-en-2142	doc-en-14648	128	111	6	105	105	0.4374
q-en-2148	doc-en-14687	128	0	85	-85	85	0.4094
q-en-2149	doc-en-14695	128	115	114	1	1	0.5359
q-en-2150	doc-en-14703	112	78	77	1	1	0.5751
q-en-2156	doc-en-14746	119	64	63	1	1	0.6544
q-en-2163	doc-en-14798	128	39	38	1	1	0.4668
q-en-2174	doc-en-3628	114	82	81	1	1	0.5875
q-en-2177	doc-en-14900	109	56	57	-1	1	0.5410
q-en-2179	doc-en-14913	128	99	97	2	2	0.5215
q-en-2181	doc-en-14928	115	82	81	1	1	0.5029
q-en-2182	doc-en-14934	102	56	55	1	1	0.5481
q-en-2183	doc-en-14941	128	86	84	2	2	0.5409
q-en-2189	doc-en-14987	128	86	86	0	0	0.4707
q-en-2192	doc-en-15010	111	96	95	1	1	0.5281
q-en-2193	doc-en-15016	128	77	76	1	1	0.6476
q-en-2200	doc-en-15067	128	99	97	2	2	0.6026
q-en-2203	doc-en-15089	128	3	73	-70	70	0.5343
q-en-2205	doc-en-15103	101	0	60	-60	60	0.5847
q-en-2208	doc-en-15122	122	82	81	1	1	0.5259
q-en-2218	doc-en-4185	128	98	99	-1	1	0.7066
q-en-2222	doc-en-15212	128	88	87	1	1	0.6600
q-en-2226	doc-en-15240	106	70	67	3	3	0.5022
q-en-2228	doc-en-15254	128	91	55	36	36	0.3873
q-en-2229	doc-en-3656	128	101	127	-26	26	0.5819
q-en-2232	doc-en-15283	128	85	83	2	2	0.4512
q-en-2235	doc-en-15304	128	109	108	1	1	0.6672
q-en-2241	doc-en-15349	128	80	79	1	1	0.6747
q-en-2246	doc-en-15387	125	106	105	1	1	0.8253
q-en-2255	doc-en-15453	128	3	4	-1	1	0.4259
q-en-2261	doc-en-15498	127	77	77	0	0	0.6512
q-en-2270	doc-en-15561	128	105	98	7	7	0.6481
q-en-2271	doc-en-15567	128	0	121	-121	121	0.4421
q-en-2273	doc-en-15582	121	86	85	1	1	0.5944
q-en-2277	doc-en-15611	128	29	29	0	0	0.3483
q-en-2278	doc-en-14294	127	0	7	-7	7	0.5467
q-en-2279	doc-en-15624	128	98	96	2	2	0.5684
q-en-2281	doc-en-15640	103	71	71	0	0	0.6246
q-en-2284	doc-en-960	128	119	117	2	2	0.6871
q-en-2285	doc-en-15667	109	68	67	1	1	0.6651
q-en-2286	doc-en-2269	128	8	116	-108	108	0.5898
q-en-2289	doc-en-15694	128	0	73	-73	73	0.5591
q-en-2291	doc-en-15709	128	123	121	2	2	0.5497
q-en-2292	doc-en-15717	128	0	78	-78	78	0.5198
q-en-2295	doc-en-15740	128	88	57	31	31	0.6118
q-en-2296	doc-en-15748	128	96	96	0	0	0.6190
q-en-2298	doc-en-3450	128	54	3	51	51	0.4769
q-en-2302	doc-en-15789	124	105	104	1	1	0.6266
q-en-2304	doc-en-15805	127	90	89	1	1	0.6522
q-en-233	doc-en-1828	128	82	82	0	0	0.5694
q-en-2330	doc-en-15990	128	116	114	2	2	0.6271
q-en-2332	doc-en-4364	109	91	89	2	2	0.5942
q-en-2334	doc-en-16020	125	71	96	-25	25	0.6322
q-en-2336	doc-en-16033	127	88	86	2	2	0.5110
q-en-2339	doc-en-16053	128	114	112	2	2	0.6655
q-en-2344	doc-en-16092	128	1	101	-100	100	0.5817
q-en-2345	doc-en-16100	126	101	100	1	1	0.6198
q-en-2348	doc-en-16121	128	107	106	1	1	0.6174
q-en-2353	doc-en-992	128	96	94	2	2	0.6564
q-en-2355	doc-en-16171	104	58	58	0	0	0.6511
q-en-2364	doc-en-16236	113	72	74	-2	2	0.4520
q-en-237	doc-en-1859	128	124	93	31	31	0.5600
q-en-2371	doc-en-694	128	96	96	0	0	0.6478
q-en-2377	doc-en-16325	128	0	127	-127	127	0.3870
q-en-2391	doc-en-16417	108	72	71	1	1	0.5613
q-en-2395	doc-en-16447	115	88	87	1	1	0.4642
q-en-2396	doc-en-16455	114	64	65	-1	1	0.5688
q-en-2398	doc-en-16468	128	109	107	2	2	0.5004
q-en-2401	doc-en-16489	113	58	57	1	1	0.7146
q-en-241	doc-en-1891	127	107	90	17	17	0.4465
q-en-2415	doc-en-16583	113	65	64	1	1	0.6020
q-en-2417	doc-en-16597	116	67	65	2	2	0.5806
q-en-242	doc-en-1898	115	58	57	1	1	0.5628
q-en-2421	doc-en-16622	128	92	90	2	2	0.6314
q-en-2422	doc-en-16630	128	82	83	-1	1	0.5618
q-en-2426	doc-en-16658	128	80	80	0	0	0.6717
q-en-2435	doc-en-16713	110	82	81	1	1	0.6689
q-en-2438	doc-en-16734	108	73	74	-1	1	0.6336
q-en-2439	doc-en-16740	108	86	85	1	1	0.7464
q-en-244	doc-en-1913	128	97	95	2	2	0.6395
